rank,company,ticker,industry,state,city,revenues_millions,profits_millions,assets_millions,market_value_millions,employees,website
386,ServiceNow,NOW,Computer Software,California,Santa Clara,"$10,984","$1,425","$20,383","$164,959.7","26,293",https://www.servicenow.com
387,Owens Corning,OC,"Building Materials, Glass",Ohio,Toledo,"$10,975",$647,"$14,075","$12,216.9","25,000",https://www.owenscorning.com
388,Thrivent Financial for Lutherans,~,"Insurance: Life, Health (Mutual)",Minnesota,Minneapolis,"$10,918.3",$585.7,"$119,415.7",~,"3,983",
389,Advance Auto Parts,AAP,Specialty Retailers: Other,North Carolina,Raleigh,"$10,890.9",$-335.8,"$10,798.1","$2,346.1","48,000",https://www.advanceautoparts.com
390,Toll Brothers,TOL,Homebuilders,Pennsylvania,Fort Washington,"$10,846.7","$1,571.2","$13,367.9","$10,499.6","4,900",https://www.tollbrothers.com
391,Mohawk Industries,MHK,"Home Equipment, Furnishings",Georgia,Calhoun,"$10,836.9",$517.7,"$12,778.6","$7,146.2","41,900",https://www.mohawkind.com
392,Motorola Solutions,MSI,Network and Other Communications Equipment,Illinois,Chicago,"$10,817","$1,577","$14,595","$73,098.3","21,000",https://www.motorolasolutions.com
393,Oshkosh,OSK,Construction and Farm Machinery,Wisconsin,Oshkosh,"$10,730.2",$681.4,"$9,423.1","$6,080.1","18,500",https://www.oshkoshcorp.com
394,DoorDash,DASH,Internet Services and Retailing,California,San Francisco,"$10,722",$123,"$12,845","$76,781","23,700",https://ir.doordash.com
395,Owens & Minor,OMI,Wholesalers: Health Care,Virginia,Glen Allen,"$10,700.9",$-362.7,"$4,656.2",$697.5,"23,200",https://www.owens-minor.com
396,NVR,NVR,Homebuilders,Virginia,Reston,"$10,692.9","$1,681.9","$6,381","$21,508.6","7,000",https://www.nvrinc.com
397,Interpublic Group,IPG,"Advertising, marketing",New York,New York,"$10,691.7",$689.5,"$18,325.8","$10,121.2","53,300",https://www.interpublic.com
398,Booz Allen Hamilton Holding,BAH,Information Technology Services,Virginia,McLean,"$10,661.9",$605.7,"$6,563.7","$13,244.6","34,200",https://www.boozallen.com
399,Burlington Stores,BURL,Specialty Retailers: Apparel,New Jersey,Burlington,"$10,634.8",$503.6,"$8,770.4","$15,063.6","47,295",https://www.burlingtoninvestors.com
400,Expeditors Intl. of Washington,EXPD,Transportation and Logistics,Washington,Bellevue,"$10,600.5",$810.1,"$4,754.5","$16,565.2","18,917",https://www.expeditors.com
401,Lululemon athletica,LULU,Specialty Retailers: Apparel,Washington,Sumner,"$10,588.1","$1,814.6","$7,603.3","$35,595.7","39,000",https://www.lululemon.com
402,Fidelity National Information Services,FIS,Financial Data Services,Florida,Jacksonville,"$10,540","$1,450","$33,784","$39,557.4","50,000",https://www.fisglobal.com
403,Jefferies Financial Group,JEF,Diversified Financials,New York,New York,"$10,515.1",$743.4,"$64,360.3","$11,043.4","7,822",https://www.jefferies.com
404,Williams,WMB,Pipelines,Oklahoma,Tulsa,"$10,503","$2,225","$54,532","$72,948.2","5,829",https://www.williams.com
405,VF,VFC,Apparel,Colorado,Denver,"$10,454.7",$-968.9,"$11,613","$6,046.2","24,000",https://www.vfc.com
406,FM,~,Insurance: Property and Casualty (Stock),Rhode Island,Johnston,"$10,413.6","$3,390.5","$39,637.7",~,"5,845",
407,Autoliv,ALV,Motor Vehicles & Parts,Michigan,Auburn Hills,"$10,390",$646,"$7,804","$6,848","62,266",https://www.autoliv.com
408,Westinghouse Air Brake Technologies,WAB,Industrial Machinery,Pennsylvania,Pittsburgh,"$10,387","$1,056","$18,702","$30,983.3","29,500",https://www.wabteccorp.com
409,Public Service Enterprise Group,PEG,Utilities: Gas and Electric,New Jersey,Newark,"$10,290","$1,772","$54,640","$41,031.6","13,047",https://www.pseg.com
410,Dana,DAN,Motor Vehicles & Parts,Ohio,Maumee,"$10,284",$-57,"$7,485","$1,942.5","39,600",https://www.dana.com
411,Ebay,EBAY,Internet Services and Retailing,California,San Jose,"$10,283","$1,975","$19,365","$31,562.2","11,500",https://www.ebay.com
412,Celanese,CE,Chemicals,Texas,Irving,"$10,280","$-1,522","$22,857","$6,344.3","12,163",https://www.celanese.com
413,Global Payments,GPN,Financial Data Services,Georgia,Atlanta,"$10,105.9","$1,570.4","$46,890.3","$24,076.2","27,000",https://www.globalpaymentsinc.com
414,News Corp.,NWSA,"Publishing, Printing",New York,New York,"$10,085",$266,"$16,684","$16,040.9","23,900",https://www.newscorp.com
415,Thor Industries,THO,Motor Vehicles & Parts,Indiana,Elkhart,"$10,043.4",$265.3,"$7,020.8","$4,033.4","22,300",https://www.thorindustries.com
416,QVC Group,QVCG.A,Internet Services and Retailing,Colorado,Englewood,"$10,037","$-1,290","$9,243",$139.8,"18,984",
417,Icahn Enterprises,IEP,Diversified Financials,Florida,Sunny Isles Beach,"$10,020",$-445,"$16,279","$4,736","15,037",https://www.ielp.com
418,Constellation Brands,STZ,Beverages,New York,Victor,"$9,961.8","$1,727.4","$25,691.7","$33,167.6","9,300",https://www.cbrands.com
419,Quest Diagnostics,DGX,Health Care: Pharmacy and Other Services,New Jersey,Secaucus,"$9,872",$871,"$16,153","$18,777.5","50,500",https://www.questdiagnostics.com
420,KLA,KLAC,Semiconductors and Other Electronic Components,California,Milpitas,"$9,812.2","$2,761.9","$15,433.6","$90,336.4","15,115",https://www.kla.com
421,QXO Building Products,~,Wholesalers: Diversified,Virginia,Herndon,"$9,763.2",$361.7,"$6,953.6","$7,643.1","8,068",
422,APA,APA,"Mining, Crude-Oil Production",Texas,Houston,"$9,737",$804,"$19,390","$7,652.6","2,305",https://www.apacorp.com
423,A-Mark Precious Metals,AMRK,Wholesalers: Diversified,California,El Segundo,"$9,699",$68.5,"$1,827.8",$584,486,https://www.amark.com
424,Biogen,BIIB,Pharmaceuticals,Massachusetts,Cambridge,"$9,675.9","$1,632.2","$28,049.3","$20,029.9","7,605",https://www.biogen.com
425,Campbell's,CPB,Food Consumer Products,New Jersey,Camden,"$9,636",$567,"$15,235","$11,903.4","14,400",
426,Concentrix,CNXC,Information Technology Services,California,Newark,"$9,618.9",$251.2,"$11,991.4","$3,550.6","450,000",https://www.concentrix.com
427,Cintas,CTAS,Diversified Outsourcing Services,Ohio,Cincinnati,"$9,596.6","$1,571.6","$9,168.8","$82,966.1","46,500",https://www.cintas.com
428,SpartanNash,SPTN,Wholesalers: Food and Grocery,Michigan,Byron Center,"$9,549.3",$0.3,"$2,602.3",$684.1,"15,000",https://www.spartannash.com
429,Ace Hardware,~,Wholesalers: Diversified,Illinois,Oak Brook,"$9,491.4",$315,"$4,292.8",~,"12,500",
430,Analog Devices,ADI,Semiconductors and Other Electronic Components,Massachusetts,Wilmington,"$9,427.2","$1,635.3","$48,228.3","$100,023.6","24,000",https://www.analog.com
431,Eastman Chemical,EMN,Chemicals,Tennessee,Kingsport,"$9,382",$905,"$15,213","$10,173.2","14,000",https://www.eastman.com
432,Interactive Brokers Group,IBKR,Securities,Connecticut,Greenwich,"$9,376",$755,"$150,142","$70,473.6","2,998",https://www.interactivebrokers.com
433,Regions Financial,RF,Commercial Banks,Alabama,Birmingham,"$9,373","$1,893","$157,302","$19,675.8","19,644",https://www.regions.com
434,JetBlue Airways,JBLU,Airlines,New York,Long Island City,"$9,279",$-795,"$16,841","$1,701.5","19,822",https://www.jetblue.com
435,Zoetis,ZTS,Pharmaceuticals,New Jersey,Parsippany,"$9,256","$2,486","$14,237","$73,728.9","13,800",https://www.zoetis.com
436,KeyCorp,KEY,Commercial Banks,Ohio,Cleveland,"$9,236",$-161,"$187,168","$17,520.5","16,753",https://www.key.com
437,Oscar Health,OSCR,Health Care: Insurance and Managed Care,New York,New York,"$9,177.6",$25.4,"$4,840.5","$3,284.9","2,400",https://www.hioscar.com
438,Ovintiv,OVV,"Mining, Crude-Oil Production",Colorado,Denver,"$9,152","$1,125","$19,254","$11,141.9","1,623",https://www.ovintiv.com
439,Seaboard,SEB,Food Production,Kansas,Merriam,"$9,100",$88,"$7,665","$2,619.1","14,000",https://www.seaboardcorp.com
440,Hertz Global Holdings,HTZ,"Automotive Retailing, Services",Florida,Estero,"$9,049","$-2,862","$21,802","$1,208.9","26,000",https://www.hertz.com
441,Skechers U.S.A.,SKX,Apparel,California,Manhattan Beach,"$8,969.4",$639.5,"$8,455.8","$8,480.4","15,100",https://www.skechers.com
442,Altice USA,ATUS,Telecommunications,New York,Long Island City,"$8,954.4",$-102.9,"$31,701.4","$1,232.2","10,900",https://www.alticeusa.com
443,NOV,NOV,"Oil and Gas Equipment, Services",Texas,Houston,"$8,870",$635,"$11,361","$5,796.1","34,010",https://www.nov.com
444,Graphic Packaging Holding,GPK,"Packaging, Containers",Georgia,Atlanta,"$8,807",$658,"$11,144","$7,833.5","23,000",https://www.graphicpkg.com
445,Avery Dennison,AVY,"Packaging, Containers",Ohio,Mentor,"$8,755.7",$704.9,"$8,404.2","$14,053.6","35,000",https://www.averydennison.com
446,Equinix,EQIX,Real estate,California,Redwood City,"$8,748",$815,"$35,085","$79,359.7","13,606",https://www.equinix.com
447,Insight Enterprises,NSIT,Information Technology Services,Arizona,Chandler,"$8,701.7",$249.7,"$7,448.6","$4,766.3","14,324",https://www.insight.com
448,Sirius XM Holdings,SIRI,Entertainment,New York,New York,"$8,699","$-1,665","$27,521","$7,637.5","5,515",
449,PVH,PVH,Apparel,New York,New York,"$8,652.9",$598.5,"$11,033.2","$3,596.1","22,000",https://www.pvh.com
450,CenterPoint Energy,CNP,Utilities: Gas and Electric,Texas,Houston,"$8,643","$1,019","$43,768","$23,648.3","8,872",https://www.centerpointenergy.com
451,WEC Energy Group,WEC,Utilities: Gas and Electric,Wisconsin,Milwaukee,"$8,599.9","$1,527.2","$47,363.2","$34,774.3","7,017",https://www.wecenergygroup.com
452,Xylem,XYL,Industrial Machinery,District Of Columbia,Washington,"$8,562",$890,"$16,493","$29,070.5","23,000",https://www.xylem.com
453,Franklin Resources,BEN,Securities,California,San Mateo,"$8,478",$464.8,"$32,464.5","$10,113.9","10,200",https://www.franklinresources.com
454,PPL,PPL,Utilities: Gas and Electric,Pennsylvania,Allentown,"$8,462",$888,"$41,069","$26,659.8","6,653",https://www.pplweb.com
455,Workday,WDAY,Computer Software,California,Pleasanton,"$8,446",$526,"$17,977","$62,119","20,482",https://www.workday.com
456,Dover,DOV,Industrial Machinery,Illinois,Downers Grove,"$8,424.3","$2,697.1","$12,509.2","$24,079.1","24,000",https://www.dovercorporation.com
457,Packaging Corp. of America,PKG,"Packaging, Containers",Illinois,Lake Forest,"$8,383.3",$805.1,"$8,833.2","$17,807.6","15,400",https://www.packagingcorp.com
458,ABM Industries,ABM,Diversified Outsourcing Services,New York,New York,"$8,359.4",$81.4,"$5,097.2","$2,947.3","117,000",https://www.abm.com
459,Intuitive Surgical,ISRG,Medical Products and Equipment,California,Sunnyvale,"$8,352.1","$2,322.6","$18,743.2","$177,442.6","15,638",https://www.intuitive.com
460,American Financial Group,AFG,Insurance: Property and Casualty (Stock),Ohio,Cincinnati,"$8,324",$887,"$30,836","$11,030.2","8,700",https://www.afginc.com
461,Rockwell Automation,ROK,"Electronics, Electrical Equip.",Wisconsin,Milwaukee,"$8,264.2",$952.5,"$11,232.1","$29,215.8","27,000",https://www.rockwellautomation.com
462,Solventum,SOLV,Medical Products and Equipment,Minnesota,Maplewood,"$8,254",$479,"$14,457","$13,155.1","22,000",
463,Old Republic International,ORI,Insurance: Property and Casualty (Stock),Illinois,Chicago,"$8,231.5",$852.7,"$27,843.1","$9,693.7","9,400",https://www.oldrepublic.com
464,Securian Financial Group,~,"Insurance: Life, Health (stock)",Minnesota,St. Paul,"$8,226.3",$283.3,"$74,280.4",~,"5,570",
465,Prologis,PLD,Real estate,California,San Francisco,"$8,201.6","$3,731.6","$95,328.9","$103,626.8","2,703",https://www.prologis.com
466,J.M. Smucker,SJM,Food Consumer Products,Ohio,Orrville,"$8,178.7",$744,"$20,273.7","$12,600.8","9,000",https://www.jmsmucker.com
467,Taylor Morrison Home,TMHC,Homebuilders,Arizona,Scottsdale,"$8,168.1",$883.3,"$9,297.1","$6,108.3","3,000",https://www.taylormorrison.com
468,XPO,XPO,Transportation and Logistics,Connecticut,Greenwich,"$8,072",$387,"$7,712","$12,613","39,500",https://www.xpo.com
469,Voya Financial,VOYA,Diversified Financials,New York,New York,"$8,050",$667,"$163,889","$6,472.9","10,000",https://www.voya.com
470,Palo Alto Networks,PANW,Network and Other Communications Equipment,California,Santa Clara,"$8,027.5","$2,577.6","$19,990.9","$112,980.7","15,289",https://www.paloaltonetworks.com
471,Vertiv Holdings,VRT,"Electronics, Electrical Equip.",Ohio,Westerville,"$8,011.8",$495.8,"$9,132.5","$27,492","31,000",https://www.vertiv.com
472,Welltower,WELL,Real estate,Ohio,Toledo,"$7,991.1",$951.7,"$51,044.3","$98,254.8",685,https://www.welltower.com
473,Foot Locker,FL,Specialty Retailers: Apparel,New York,New York,"$7,988",$12,"$6,748","$1,338.9","30,223",https://www.footlocker.com/corp
474,Par Pacific Holdings,PARR,Petroleum Refining,Texas,Houston,"$7,974.5",$-33.3,"$3,829.4",$775,"1,787",https://www.parpacific.com
475,TransDigm Group,TDG,Aerospace & Defense,Ohio,Cleveland,"$7,940","$1,714","$25,586","$77,581.2","16,600",https://www.transdigm.com
476,Commercial Metals,CMC,Metals,Texas,Irving,"$7,926",$485.5,"$6,817.8","$5,199.2","13,178",https://www.cmc.com
477,Post Holdings,POST,Food Consumer Products,Missouri,St. Louis,"$7,922.7",$366.7,"$12,854.2","$6,572.2","11,480",https://www.postholdings.com
478,Masco,MAS,"Home Equipment, Furnishings",Michigan,Livonia,"$7,828",$822,"$5,016","$14,718.3","18,000",https://www.masco.com
479,Rush Enterprises,RUSHB,"Automotive Retailing, Services",Texas,New Braunfels,"$7,804.7",$304.2,"$4,617.5","$4,284.1","7,882",https://www.rushenterprises.com
480,KBR,KBR,Information Technology Services,Texas,Houston,"$7,742",$375,"$6,663","$6,462.1","38,000",https://www.kbr.com
481,Sprouts Farmers Market,SFM,Food & Drug Stores,Arizona,Phoenix,"$7,719.3",$380.6,"$3,640.7","$14,964.2","35,000",https://www.sprouts.com
482,Williams-Sonoma,WSM,Specialty Retailers: Other,California,San Francisco,"$7,711.5","$1,125.3","$5,301.6","$19,526.9","19,600",https://www.williams-sonomainc.com
483,Zimmer Biomet Holdings,ZBH,Medical Products and Equipment,Indiana,Warsaw,"$7,678.6",$903.8,"$21,365.3","$22,530","17,000",https://www.zimmerbiomet.com
484,CACI International,CACI,Information Technology Services,Virginia,Reston,"$7,659.8",$419.9,"$6,796.1","$8,226.3","24,000",https://www.caci.com
485,Microchip Technology,MCHP,Semiconductors and Other Electronic Components,Arizona,Chandler,"$7,634.4","$1,906.9","$15,873.2","$26,035.8","22,300",https://www.microchip.com
486,Watsco,WSO,Wholesalers: Diversified,Florida,Miami,"$7,618.3",$536.3,"$4,479.5","$20,538.1","7,258",https://www.watsco.com
487,Newell Brands,NWL,"Home Equipment, Furnishings",Georgia,Atlanta,"$7,582",$-216,"$11,004","$2,589.6","23,700",https://www.newellbrands.com
488,ARKO,ARKO,Specialty Retailers: Other,Virginia,Richmond,"$7,571.1",$20.8,"$3,620.7",$457.3,"11,772",https://www.arkocorp.com
489,Sanmina,SANM,Semiconductors and Other Electronic Components,California,San Jose,"$7,568.3",$222.5,"$4,822.8","$4,138.5","34,500",https://www.sanmina.com
490,Electronic Arts,EA,Entertainment,California,Redwood City,"$7,562","$1,273","$13,420","$37,664.5","13,700",https://www.ea.com
491,Yum Brands,YUM,Food Services,Kentucky,Louisville,"$7,549","$1,486","$6,727","$43,919.5","31,691",https://www.yum.com
492,Fastenal,FAST,Wholesalers: Diversified,Minnesota,Winona,"$7,546","$1,150.6","$4,698","$44,471.1","20,958",https://www.fastenal.com
493,CMS Energy,CMS,Utilities: Gas and Electric,Michigan,Jackson,"$7,515","$1,003","$35,920","$22,466.5","8,324",https://www.cmsenergy.com
494,Monster Beverage,MNST,Beverages,California,Corona,"$7,492.7","$1,509","$7,719.1","$56,949.3","6,043",https://www.monsterbevcorp.com
495,Endeavor Group Holdings,~,Entertainment,California,Beverly Hills,"$7,482.9",$-782.4,"$20,565.6",~,"10,000",
496,Science Applications International,SAIC,Information Technology Services,Virginia,Reston,"$7,479",$362,"$5,246","$5,359.5","24,000",https://www.saic.com
497,Core & Main,CNM,Wholesalers: Diversified,Missouri,St. Louis,"$7,441",$411,"$5,870","$9,559.9","5,700",https://www.coreandmain.com
498,Howmet Aerospace,HWM,Aerospace & Defense,Pennsylvania,Pittsburgh,"$7,430","$1,155","$10,519","$52,543.6","23,930",https://www.howmet.com
498,Ingredion,INGR,Food Production,Illinois,Westchester,"$7,430",$647,"$7,444","$8,678.6","11,200",https://www.ingredion.com
500,Vulcan Materials,VMC,"Building Materials, Glass",Alabama,Birmingham,"$7,417.7",$911.9,"$17,104.8","$30,819.2","11,971",https://www.vulcanmaterials.com
501,Knight-Swift Transportation Hldgs.,KNX,"Trucking, Truck Leasing",Arizona,Phoenix,"$7,410.1",$117.6,"$12,698.5","$7,044.3","35,300",https://investor.knight-swift.com
502,Nasdaq,NDAQ,Securities,New York,New York,"$7,400","$1,117","$30,395","$43,630.5","9,162",https://www.nasdaq.com
503,Continental Resources,CLR,"Mining, Crude-Oil Production",Oklahoma,Oklahoma City,"$7,377.6","$2,011.8","$22,305.6",~,"1,395",https://www.clr.com
504,RPM International,RPM,Chemicals,Ohio,Medina,"$7,335.3",$588.4,"$6,586.5","$14,872.8","17,207",https://www.rpminc.com
505,Ameren,AEE,Utilities: Gas and Electric,Missouri,St. Louis,"$7,324","$1,182","$44,598","$27,123.8","8,981",https://www.ameren.com
506,Bath & Body Works,BBWI,Specialty Retailers: Other,Ohio,Columbus,"$7,307",$798,"$4,872","$6,495.3","34,093",https://www.bbwinc.com
507,Genworth Financial,GNW,"Insurance: Life, Health (stock)",Virginia,Glen Allen,"$7,295",$299,"$86,871","$2,948.6","2,960",https://www.genworth.com
508,Polaris,PII,Transportation Equipment,Minnesota,Medina,"$7,273",$110.8,"$5,525.2","$2,288.6","15,000",https://www.polaris.com
509,Ingersoll Rand,IR,Industrial Machinery,North Carolina,Davidson,"$7,235",$838.6,"$18,009.8","$32,258.8","21,000",https://www.irco.com
510,UGI,UGI,Utilities: Gas and Electric,Pennsylvania,King of Prussia,"$7,210",$269,"$15,098","$7,103.9","9,750",https://www.ugicorp.com
511,Domtar,~,Forest and Paper Products,South Carolina,Fort Mill,"$7,154",$-17,"$7,316",~,"13,700",
512,Penn Mutual Life Insurance,~,"Insurance: Life, Health (stock)",Pennsylvania,Conshohocken,"$7,137.8","$1,325.5","$48,158.2",~,"1,369",
513,Wynn Resorts,WYNN,"Hotels, Casinos, Resorts",Nevada,Las Vegas,"$7,128",$501.1,"$12,978","$9,357.6","28,000",https://www.wynnresorts.com
514,Weyerhaeuser,WY,Forest and Paper Products,Washington,Seattle,"$7,124",$396,"$16,536","$21,252.9","9,440",https://www.weyerhaeuser.com
515,T. Rowe Price,TROW,Securities,Maryland,Baltimore,"$7,093.6","$2,100.1","$13,472","$20,417.4","8,158",https://www.troweprice.com
516,Clorox,CLX,Household and Personal Products,California,Oakland,"$7,093",$280,"$5,751","$18,139.7","8,000",https://www.thecloroxcompany.com
517,Moody's,MCO,Financial Data Services,New York,New York,"$7,088","$2,058","$15,505","$83,772.7","15,838",https://www.moodys.com
518,ON Semiconductor,ON,Semiconductors and Other Electronic Components,Arizona,Scottsdale,"$7,082.3","$1,572.8","$14,089.8","$17,147.6","26,445",https://www.onsemi.com
519,Roper Technologies,ROP,Computer Software,Florida,Sarasota,"$7,039.2","$1,549.3","$31,334.7","$63,312.2","18,200",https://www.ropertech.com
520,Comfort Systems USA,FIX,Engineering & Construction,Texas,Houston,"$7,027.5",$522.4,"$4,711.1","$11,459.8","18,300",https://www.comfortsystemsusa.com
521,APi Group,APG,Engineering & Construction,Minnesota,New Brighton,"$7,018",$250,"$8,152","$9,877.7","29,000",https://www.apigroupcorp.com
522,Arista Networks,ANET,Network and Other Communications Equipment,California,Santa Clara,"$7,003.1","$2,852.1","$14,043.9","$97,711.8","4,412",https://www.arista.com
523,ODP,ODP,Specialty Retailers: Other,Florida,Boca Raton,"$6,995",$-3,"$3,529",$427.3,"19,000",https://www.theodpcorp.com
524,NGL Energy Partners,NGL,Pipelines,Oklahoma,Tulsa,"$6,956.6",$-143.8,"$5,020.1",$599.3,607,https://www.nglenergypartners.com
525,Ametek,AME,"Scientific,Photographic and Control Equipment",Pennsylvania,Berwyn,"$6,941.2","$1,376.1","$14,631.2","$39,720.8","21,500",https://www.ametek.com
526,KB Home,KBH,Homebuilders,California,Los Angeles,"$6,930.1",$655,"$6,936.2","$4,152.5","2,384",https://www.kbhome.com
527,Select Medical Holdings,SEM,Health Care: Medical Facilities,Pennsylvania,Mechanicsburg,"$6,925.5",$214,"$5,608","$2,153.7","37,050",https://www.selectmedicalholdings.com
528,Coca-Cola Consolidated,COKE,Beverages,North Carolina,Charlotte,"$6,899.7",$633.1,"$5,313.1","$11,769","16,000",https://www.cokeconsolidated.com
529,Avantor,AVTR,"Scientific,Photographic and Control Equipment",Pennsylvania,Radnor,"$6,783.6",$711.5,"$12,114.5","$11,045.8","13,500",https://www.avantorsciences.com
530,Resideo Technologies,REZI,"Building Materials, Glass",Arizona,Scottsdale,"$6,761",$116,"$8,199","$2,617.4","14,600",https://www.resideo.com
531,Parsons,PSN,Aerospace & Defense,Virginia,Chantilly,"$6,750.6",$235.1,"$5,488","$6,322.3","19,600",https://www.parsons.com
532,Boise Cascade,BCC,Wholesalers: Diversified,Idaho,Boise,"$6,724.3",$376.4,"$3,369.4","$3,731.4","7,560",https://www.bc.com
533,McCormick,MKC,Food Consumer Products,Maryland,Hunt Valley,"$6,723.7",$788.5,"$13,070.3","$22,074.5","14,100",https://www.mccormickcorporation.com
534,Tapestry,TPR,Apparel,New York,New York,"$6,671.2",$816,"$13,396.3","$14,576","15,550",https://www.tapestry.com
535,UFP Industries,UFPI,"Building Materials, Glass",Michigan,Grand Rapids,"$6,652.3",$414.6,"$4,150.9","$6,510.6","15,000",https://www.ufpi.com
536,Hyatt Hotels,H,"Hotels, Casinos, Resorts",Illinois,Chicago,"$6,648","$1,296","$13,324","$11,779.3","52,000",https://www.hyatt.com
537,Ralph Lauren,RL,Apparel,New York,New York,"$6,631.4",$646.3,"$6,602.6","$13,633.8","19,100",https://www.ralphlauren.com
538,Sonoco Products,SON,"Packaging, Containers",South Carolina,Hartsville,"$6,596.8",$163.9,"$12,507.8","$4,659","28,000",https://www.sonoco.com
539,Synopsys,SNPS,Computer Software,California,Sunnyvale,"$6,596.2","$2,263.4","$13,073.6","$66,308.8","20,000",https://www.synopsys.com
540,Dillard's,DDS,General Merchandisers,Arkansas,Little Rock,"$6,590.2",$593.5,"$3,531.1","$5,695.9","24,450",https://www.dillards.com
541,Insperity,NSP,Diversified Outsourcing Services,Texas,Kingwood,"$6,581",$91,"$2,597","$3,322","4,500",https://www.insperity.com
542,PENN Entertainment,PENN,"Hotels, Casinos, Resorts",Pennsylvania,Wyomissing,"$6,578.1",$-311.5,"$15,261.7","$2,494.6","23,118",https://www.pennentertainment.com
543,Patterson,PDCO,Wholesalers: Health Care,Minnesota,St. Paul,"$6,568.3",$185.9,"$2,896.7","$2,763.9","7,600",https://www.pattersoncompanies.com
544,Crown Castle,CCI,Real estate,Texas,Houston,"$6,568","$-3,903","$32,736","$45,385.3","3,900",https://www.crowncastle.com
545,Coinbase Global,COIN,Securities,New York,New York,"$6,564","$2,579.1","$22,542","$43,725.7","3,772",https://www.coinbase.com
546,Olin,OLN,Chemicals,Missouri,Clayton,"$6,540.1",$108.6,"$7,579.1","$2,789.6","7,676",https://www.olin.com
547,Martin Marietta Materials,MLM,"Building Materials, Glass",North Carolina,Raleigh,"$6,536","$1,995","$18,170","$29,153.6","9,400",https://www.martinmarietta.com
548,O-I Glass,OI,"Packaging, Containers",Ohio,Perrysburg,"$6,531",$-106,"$8,654","$1,767.2","21,000",https://www.o-i.com
549,Agilent Technologies,A,"Scientific,Photographic and Control Equipment",California,Santa Clara,"$6,510","$1,289","$11,846","$33,351.3","17,900",https://www.agilent.com
550,Broadridge Financial Solutions,BR,Financial Data Services,New York,Lake Success,"$6,506.8",$698.1,"$8,242.4","$28,372.4","14,600",https://www.broadridge.com
551,Lamb Weston Holdings,LW,Food Consumer Products,Idaho,Eagle,"$6,467.6",$725.5,"$7,367","$7,602.7","10,700",https://www.lambweston.com
552,Warner Music Group,WMG,Entertainment,New York,New York,"$6,426",$435,"$9,155","$16,313.3","5,800",https://www.wmg.com
553,Organon,OGN,Pharmaceuticals,New Jersey,Jersey City,"$6,403",$864,"$13,101","$3,840.9","10,000",https://www.organon.com
554,Meritage Homes,MTH,Homebuilders,Arizona,Scottsdale,"$6,395",$786.2,"$7,162.7","$5,091.3","1,898",https://www.meritagehomes.com
555,Primoris Services,PRIM,Engineering & Construction,Texas,Dallas,"$6,366.8",$180.9,"$4,195.9","$3,095.3","15,716",https://www.prim.com
556,Levi Strauss,LEVI,Apparel,California,San Francisco,"$6,355.3",$210.6,"$6,375.5","$6,163.2","18,700",https://www.levistrauss.com
557,Flagstar Financial,FLG,Commercial Banks,New York,Hicksville,"$6,353","$-1,118","$100,160","$4,819","6,993",
558,Amkor Technology,AMKR,Semiconductors and Other Electronic Components,Arizona,Tempe,"$6,317.7",$354,"$6,944.3","$4,461.8","28,300",https://www.amkor.com
559,Spirit AeroSystems Holdings,SPR,Aerospace & Defense,Kansas,Wichita,"$6,316.6","$-2,139.8","$6,762.8","$4,041","20,370",https://www.spiritaero.com
560,NetApp,NTAP,"Computers, Office Equipment",California,San Jose,"$6,268",$986,"$9,887","$17,867.7","11,800",https://www.netapp.com
561,Gartner,IT,Information Technology Services,Connecticut,Stamford,"$6,267.4","$1,253.7","$8,534.7","$32,243.7","21,044",https://www.gartner.com
562,Hanover Insurance Group,THG,Insurance: Property and Casualty (Stock),Massachusetts,Worcester,"$6,237.4",$426,"$15,274.5","$6,269.1","4,900",https://www.hanover.com
563,Fortive,FTV,"Electronics, Electrical Equip.",Washington,Everett,"$6,231.8",$832.9,"$17,016.1","$24,902.4","18,000",https://www.fortive.com
564,Victoria's Secret,VSCO,Specialty Retailers: Apparel,Ohio,Reynoldsburg,"$6,229.6",$165.3,"$4,532","$1,465.7","22,000",https://www.victoriassecretandco.com
565,Xerox Holdings,XRX,"Computers, Office Equipment",Connecticut,Norwalk,"$6,221","$-1,321","$8,365",$605.1,"16,800",https://www.xerox.com
566,Edwards Lifesciences,EW,Medical Products and Equipment,California,Irvine,"$6,170.2","$4,174.6","$13,055.3","$42,455.6","15,800",https://www.edwards.com
567,Iron Mountain,IRM,Diversified Outsourcing Services,New Hampshire,Portsmouth,"$6,149.9",$180.2,"$18,717.1","$25,273.5","28,850",https://www.ironmountain.com
568,Autodesk,ADSK,Computer Software,California,San Francisco,"$6,131","$1,112","$10,833","$55,763.4","15,300",https://www.autodesk.com
569,CME Group,CME,Securities,Illinois,Chicago,"$6,130.1","$3,525.8","$137,447","$95,605.9","3,760",https://www.cmegroup.com
570,First American Financial,FAF,Insurance: Property and Casualty (Stock),California,Santa Ana,"$6,128.1",$131.1,"$14,908.6","$6,765.7","19,038",https://www.firstam.com
571,American Axle & Manufacturing,AXL,Motor Vehicles & Parts,Michigan,Detroit,"$6,124.9",$35,"$5,059.9",$481.6,"19,000",https://www.aam.com
572,Coty,COTY,Household and Personal Products,New York,New York,"$6,118",$89.4,"$12,082.5","$4,769.8","11,791",https://www.coty.com
